SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,BZ002,BIIF01BCN1,OBL BKLJT I BII FINANCE TAHAP I TH 2015 SERI B,104.453647,104.453600,105.753647,103.153647,
IBPA,20180813,BZ002,BIIF01BCN2,OBL BKLJT I MAYBANK FINANCE TAHAP II TH2016 SERI B,100.659153,100.659200,101.959153,99.359153,
IBPA,20180813,BZ002,BJBR01ACN1,OBLIGASI BKLJT I BANK BJB THP I TAHUN 2017 SERI A,96.556684,96.556700,97.856684,95.256684,
IBPA,20180813,BZ002,BJBR01ASBCN1,OBL SUB BKLJT I BANK BJB THP I TAHUN 2017 SERI A,96.165988,96.166000,98.165988,94.165988,
IBPA,20180813,BZ002,BJBR01BCN1,OBLIGASI BKLJT I BANK BJB THP I TAHUN 2017 SERI B,93.777292,93.777300,95.377292,92.177292,
IBPA,20180813,BZ002,BJBR01BSBCN1,OBL SUB BKLJT I BANK BJB THP I TAHUN 2017 SERI B,94.794705,94.794700,96.794705,92.794705,
IBPA,20180813,BZ002,BJBR01CCN1,OBLIGASI BKLJT I BANK BJB THP I TAHUN 2017 SERI C,93.698853,93.698900,95.298853,92.098853,
IBPA,20180813,BZ002,BMRI01ACN1,OBL BKLJT I BANK MANDIRI TAHAP I TAHUN 2016 SERI A,97.308091,97.308100,98.908091,95.708091,
IBPA,20180813,BZ002,BMRI01ACN2,OBL BKLJT I BANK MANDIRI THP II TAHUN 2017 SERI A,96.718786,96.718800,98.318786,95.118786,
IBPA,20180813,BZ002,BMRI01BCN1,OBL BKLJT I BANK MANDIRI TAHAP I TAHUN 2016 SERI B,96.991591,96.991600,98.591591,95.391591,
IBPA,20180813,BZ002,BMRI01CCN1,OBL BKLJT I BANK MANDIRI TAHAP I TAHUN 2016 SERI C,95.054940,95.054900,96.654940,93.454940,
IBPA,20180813,BZ002,BMTP01A,OBLIGASI I BANK MANDIRI TASPEN POS TH 2017 SERI A,100.101650,100.101700,101.401650,98.801650,
IBPA,20180813,BZ002,BMTP01B,OBLIGASI I BANK MANDIRI TASPEN POS TH 2017 SERI B,96.916583,96.916600,98.516583,95.316583,
IBPA,20180813,BZ002,BMTR01ACN1,OBL BKLJT I GLOBAL MEDIACOM THP I TH 2017 SERI A,98.222624,98.222600,100.222624,96.222624,
IBPA,20180813,BZ002,BNGA01CCN2,OBL BKLJT I BANK CIMB NIAGA THP II TH 2013 SERI C,100.816135,100.816100,101.816135,99.816135,
IBPA,20180813,BZ002,BNGA02ACN2,OBL BKLJT II BANK CIMB NIAGA THP II TH 2017 SERI A,100.021992,100.022000,101.021992,99.021992,
IBPA,20180813,BZ002,BNGA02ACN3,OBL BKLJT II BANK CIMB NIAGA THP III TH2017 SERI A,99.895564,99.895600,100.895564,98.895564,
IBPA,20180813,BZ002,BNGA02BCN2,OBL BKLJT II BANK CIMB NIAGA THP II TH 2017 SERI B,99.366949,99.366900,100.666949,98.066949,
IBPA,20180813,BZ002,BNGA02BCN3,OBL BKLJT II BANK CIMB NIAGA THP III TH2017 SERI B,100.001983,100.002000,101.301983,98.701983,
IBPA,20180813,BZ002,BNGA02CCN1,OBL BKLJ II BANK CIMB NIAGA TAHAP I TH 2016 SERI C,98.297832,98.297800,99.897832,96.697832,
IBPA,20180813,BZ002,BNGA02CCN2,OBL BKLJT II BANK CIMB NIAGA THP II TH 2017 SERI C,96.957822,96.957800,98.557822,95.357822,
IBPA,20180813,BZ002,BNGA02CCN3,OBL BKLJT II BANK CIMB NIAGA THP III TH2017 SERI C,95.320527,95.320500,96.920527,93.720527,
IBPA,20180813,BZ002,BNGA02SB,OBLIGASI SUBORDINASI II BANK CIMB NIAGA TAHUN 2010,103.797627,103.797600,105.097627,102.497627,
IBPA,20180813,BZ002,BNII01SBCN2,OBL SUBORDINASI BKLJT I BANK BII TAHAP II TH 2012,101.000393,101.000400,102.300393,99.700393,
IBPA,20180813,BZ002,BNII02SBCN1,OBL SUBORDINASI BKLJT II BANK BII TAHAP I TH 2014,104.751202,104.751200,106.051202,103.451202,
IBPA,20180813,BZ002,BNII02SBCN2,OBL SUB BKLJ II BANK MAYBANK INDONESIA THP II TH16,98.861067,98.861100,100.461067,97.261067,
IBPA,20180813,BZ002,BNLI01SBCN1,OBL SUBORDINASI BKLJT I BANK PERMATA THP I TH 2012,101.996322,101.996300,102.996322,100.996322,
IBPA,20180813,BZ002,BNLI01SBCN2,OBL SUBORDINASI BKLJ I BANK PERMATA THP II TH 2012,101.719639,101.719600,103.019639,100.419639,
IBPA,20180813,BZ002,BNLI02SBCN1,OBL SUBORDINASI BKLJT II BANK PERMATA THP I TH2013,106.364904,106.364900,107.664904,105.064904,
